X,Y,DATA,ORA,LUOGO,Incidenti,lon,lat
13.4289225321125,38.0963333810152,14/01/2016,7.000000000000000,VIA MESSINA MARINE altezza del civico 622,F,13.428923,38.096333
13.3614057711339,38.0864803206034,14/01/2016,8.000000000000000,VIALE PAPA GIOVANNI XXIII intersezione con VIA,C,13.361406,38.086480
13.3590533862324,38.1335244471877,13/01/2016,10.300000000000001,VIA PIANO DELL'UCCIARDONE di fronte DF,C,13.359053,38.133524
13.334764199238,38.1068685412861,14/01/2016,13.150000000000000,VIA TITONE MICHELE altezza del civico 67,F,13.334764,38.106869
13.3166053307353,38.0975169322585,13/01/2016,20.199999999999999,CORSO CALATAFIMI altezza del civico 1003,F,13.316605,38.097517
13.3402225477466,38.1518957766685,13/01/2016,12.150000000000000,VIA CASSARA' ANTONIO altezza del civico 2,C,13.340223,38.151896
13.3332291150777,38.1217159650282,14/01/2016,17.300000000000001,VIA NOCE intersezione con PIAZZA NOCE,C,13.333229,38.121716
13.3189415400922,38.1642091720779,14/01/2016,17.000000000000000,VIA S.LORENZO nr. 298,C,13.318942,38.164209
13.3211744409069,38.1141186770271,14/01/2016,17.149999999999999,VIA DEL PRETE CARLO intersezione con VIA BELVEDERE,F,13.321174,38.114119
13.332486054226,38.1363222543698,14/01/2016,19.149999999999999,VIA PRINCIPE DI PATERNO' intersezione con VIALE,F,13.332486,38.136322
13.3568431100723,38.1079455036382,15/01/2016,0.300000000000000,VIA FILICIUZZA intersezione con VIA SALAMONE MARINO,F,13.356843,38.107946
13.3433800633229,38.1253200696702,15/01/2016,9.449999999999999,VIA PARLATORE FILIPPO intersezione con VIA ADRIA GIAN,C,13.343380,38.125320
13.3603808608495,38.1078507587152,11/01/2016,10.250000000000000,VIA SALAMONE MARINO SALVATORE intersezione VIA,C,13.360381,38.107851
13.3499551027418,38.1378036324376,15/01/2016,13.000000000000000,VIALE MARCHESE DI VILLABIANCA intersezione con VIA,F,13.349955,38.137804
13.3321359184804,38.1401742465661,14/01/2016,10.300000000000001,VIALE LAZIO altezza del civico 88/90,F,13.332136,38.140174
13.3300797501264,38.1267627870485,15/01/2016,14.449999999999999,VIA SCOBAR CRISTOFARO altezza del civico 17,F,13.330080,38.126763
