X,Y,id,ANNO,MESE,GIORNO,ORA,STRADA_1,MESE_1,GIORNO_1,DATA,ORA_1,STRADA,CIVICO,STRADA_2,TIPO_VA,TIPO_VB
11.2433007872262,43.7751909807078,415603,2011,MAGGIO,MERCOLEDI',10.00,VIA IL PRATO,MAGGIO,MERCOLEDÌ,2011/05/11,10.00,VIA IL PRATO,38/R,,VELOCIPEDE,
11.2478293867869,43.753935945213,416108,2011,GIUGNO,DOMENICA,11.55,VLE EVANGELIS. TORRICELLI,GIUGNO,DOMENICA,2011/06/12,11.55,VLE EVANGELIS. TORRICELLI,10,,VELOCIPEDE,
11.1930308553966,43.7687579652407,416098,2011,GIUGNO,GIOVEDI',10.45,VIA PISANA,GIUGNO,GIOVEDÌ,2011/06/09,10.45,VIA PISANA,775,,AUTO IN SOSTA,AUTOBUS DI LINEA O NON IN EXTRAURBANA
11.2393202686838,43.7844479386864,415219,2011,APRILE,MERCOLEDI',15.45,VIA MARAGLIANO,APRILE,MERCOLEDÌ,2011/04/20,15.45,VIA MARAGLIANO,7,,MOTOCICLO A SOLO,VELOCIPEDE
11.2410547734418,43.8034992594619,417695,2011,SETTEMBRE,LUNEDI',10.30,VIA DELLE PANCHE,SETTEMBRE,LUNEDÌ,2011/09/26,10.30,VIA DELLE PANCHE,85,,AUTOVETTURA PRIVATA,VELOCIPEDE
11.2400561895308,43.7782329050528,417273,2011,AGOSTO,LUNEDI',15.00,PLE DI PORTA AL PRATO,AGOSTO,LUNEDÌ,2011/08/08,15.00,PLE DI PORTA AL PRATO,6,VLE FRATELLI ROSSELLI,VELOCIPEDE,
11.2402689455439,43.7563876198495,417188,2011,AGOSTO,GIOVEDI',18.00,VIA SENESE,AGOSTO,GIOVEDÌ,2011/08/04,18.00,VIA SENESE,,,VELOCIPEDE,
11.2908239476391,43.7793413469521,417313,2011,SETTEMBRE,SABATO,08.05,VLE TERENZIO MAMIANI,SETTEMBRE,SABATO,2011/09/03,08.05,VLE TERENZIO MAMIANI,,VLE EDMONDO DE AMICIS,VELOCIPEDE,AUTOVETTURA PRIVATA
11.269781376759,43.7643612068813,416528,2011,LUGLIO,VENERDI',14.45,LNO BENVENUTO CELLINI,LUGLIO,VENERDÌ,2011/07/08,14.45,LNO BENVENUTO CELLINI,3,,VELOCIPEDE,AUTO IN SOSTA
11.2299685261683,43.7832247491329,417209,2011,AGOSTO,SABATO,15.00,VIA GIUSEPPE S.MERCADANTE,AGOSTO,SABATO,2011/08/06,15.00,VIA GIUSEPPE S.MERCADANTE,,VIA AMILCARE PONCHIELLI,VELOCIPEDE,IGNOTO
